,City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
304,Kolomak,0,93,49.84,66.49,7.74
305,Fuensalida,0,44,40.06,64.96,5.73
306,Ibach,0,82,47.73,68.0,2.48
307,Metsemotlhaba,0,75,-24.55,42.8,5.82
308,Guanzate,0,73,45.73,77.0,2.24
309,Urucurituba,88,73,-2.68,81.34,2.59
310,Kleinlangenfeld,1,68,50.27,73.4,3.6
311,Windsor County,1,88,43.55,80.6,5.82
312,Weckesheim,0,68,50.37,71.6,2.24
313,Alamo Heights,20,35,29.48,102.2,13.87
314,Scopello,0,73,45.77,71.6,2.24
315,Yuantan,20,94,23.66,82.4,4.47
316,Rougemont,0,72,47.48,68.0,3.36
317,Badia,12,63,43.08,66.2,6.93
318,Surry Hills,0,34,-33.88,66.2,6.93
319,Arukula,20,93,59.36,64.4,3.36
320,Santa Cruz Verapaz,0,74,15.37,78.91,2.15
321,Nassiet,0,94,43.6,71.6,2.24
322,Dubrovo,24,79,54.93,62.71,8.19
323,Le Pout,0,88,44.8,68.0,8.05
324,Lama Mocogno,0,64,44.31,75.2,8.05
325,Badetz,0,64,51.93,71.6,6.93
326,Dorroughby,40,68,-28.67,64.4,5.17
327,Batung,48,96,17.73,75.76,1.81
328,Courtetelle,0,82,47.34,68.0,4.05
329,Lumazal,0,87,5.89,80.08,3.71
330,Województwo Podlaskie,0,92,53.25,63.34,3.83
331,Adelboden,0,88,46.49,68.0,3.36
332,Marklowice,0,72,50.02,64.4,3.36
333,Holgate,0,37,-33.4,66.2,8.05
334,Kloster Neuendorf,0,63,52.53,71.26,5.84
335,Nadvirna,75,100,48.63,66.2,6.71
336,Lansdowne,92,98,29.83,70.63,2.15
337,Ijevan,0,94,40.88,52.27,1.25
338,Lehigh Acres,20,70,26.63,87.8,8.05
339,Maricao Municipio,5,88,18.17,78.8,12.44
340,Richelieu,90,83,45.44,80.6,5.82
341,Neuler,1,68,48.93,68.0,2.59
342,Mishevsko,0,94,41.53,58.12,1.92
343,Campomorone,0,73,44.51,73.4,5.82
344,Purfleet,0,60,51.48,73.4,6.93
345,Sartell,1,41,45.62,80.6,9.17
346,Ashfordby,0,77,52.75,64.4,4.7
347,Grand Duchy of Luxembourg,0,56,49.75,71.6,3.36
348,Changwat Ranong,40,94,9.75,80.6,1.12
349,Sascut,92,88,46.2,68.0,6.93
350,Lookan,64,96,5.04,84.76,6.4
351,Coll de Nargo,12,76,42.17,62.53,2.93
352,Bull Shoals,20,31,36.38,91.4,5.82
353,Mustāng,32,98,28.92,32.56,1.59
354,Europe,0,77,48.69,66.2,3.36
355,Villiers-le-Morhier,0,68,48.62,75.2,2.24
356,Hovorcovice,0,64,50.18,68.0,2.24
357,Zimmern ob Rottweil,0,83,48.17,58.3,2.37
358,Falconara Marittima,92,100,43.62,76.3,4.83
359,Anarrakhi,12,92,40.48,56.14,2.37
360,Holasice,0,64,49.08,68.0,4.7
361,Miramont-Sensacq,90,94,43.6,69.8,4.7
362,Shinyanga,0,81,-3.67,53.98,3.49
363,La Haye-Malherbe,0,77,49.23,66.2,8.05
364,Friesenegg,0,82,48.3,64.4,2.24
365,Aberdeen,1,33,35.04,91.4,6.93
366,Küsnacht (ZH),20,68,47.32,69.8,2.24
367,Swieqi,0,78,35.92,75.2,11.41
368,Maicanesti,36,93,45.5,66.76,8.41
369,Schinkel,0,60,52.28,71.6,1.12
370,Buenavista de Valdavia,0,81,42.63,61.81,7.63
371,Portola,1,13,39.81,98.6,11.41
372,Betxí,20,83,39.92,78.8,6.93
373,Lawrence Park,75,83,42.15,75.2,1.81
374,Plan-dAups-Sainte-Baume,0,83,43.33,75.2,2.24
375,Bientina,0,94,43.71,69.8,2.24
376,San Esteban de Nogales,0,93,42.16,57.2,2.24
377,Kadur,56,94,13.55,69.01,10.42
378,Velence,0,88,47.24,66.2,2.24
379,Ferreries,0,88,39.99,73.4,9.17
380,Altendorf,0,72,47.66,68.0,5.82
381,Lerik,0,83,38.77,77.0,2.24
382,Bentzin,0,77,53.95,66.2,1.12
383,Winkel,0,68,50.0,73.4,2.24
384,Sainte-Pazanne,0,93,47.1,66.2,3.36
385,Geria,0,64,41.58,62.44,1.14
386,Pantigliate,0,50,45.44,77.0,4.7
387,Kertahayu,68,94,-7.46,67.21,2.71
388,La Crescent,1,42,43.83,82.4,10.29
389,Vulaines-sur-Seine,0,68,48.43,75.2,4.72
390,Wattwil,20,68,47.3,69.8,2.24
391,Merida,76,95,8.6,62.71,1.59
392,Serpentine-Jarrahdale,75,100,-32.32,59.0,12.75
393,Berëzovets,68,90,52.56,63.79,9.31
394,Sumiswald,75,72,47.03,69.8,3.36
395,Peaugres,0,72,45.28,73.4,1.12
396,Trinita,0,96,44.51,61.18,1.59
397,Jurm,0,75,36.86,44.62,1.59
398,Scharlau,0,72,49.2,62.6,2.37
399,Barnbach,20,93,47.03,62.6,2.24
400,Mobai,92,100,7.99,70.9,4.38
401,Taiping,20,94,23.44,82.4,4.47
402,Cimaung Kidul,44,94,-7.26,61.81,1.7
403,El Porvenir,20,79,15.75,86.0,6.93
404,Kavieng,36,100,-2.57,83.32,9.42
405,Steinholz,0,93,47.9,62.6,2.24
406,Daignac,0,88,44.8,68.0,8.05
407,Campina Grande,0,68,-7.23,68.0,4.7
408,Obshtina Belovo,75,88,42.2,66.2,4.7
409,Mampote,20,83,10.47,77.0,3.36
410,Chorzów,0,93,50.29,64.4,2.24
411,Sudbury,0,68,51.56,73.4,2.24
412,Sirinhaem,40,73,-8.59,77.0,11.41
413,Ben Avon,90,74,40.51,78.8,3.36
414,Grand Falls,1,61,47.05,82.4,11.41
415,Orth an der Donau,0,72,48.15,69.8,5.82
416,Lake Isabella,40,73,43.64,82.4,4.16
417,Shatoujiao,20,83,22.55,84.2,3.36
418,Wettrup,0,60,52.59,71.6,1.12
419,Provincia de Cartago,75,60,9.83,73.4,9.17
420,Nomi,0,81,45.93,71.6,3.36
421,Stanau,0,53,50.71,73.4,4.7
422,Pinki,20,93,56.94,62.6,2.24
423,Provincia de Guanacaste,0,58,10.5,87.8,8.05
424,Windsor,1,42,38.55,86.0,13.87
425,Struckum,8,88,54.58,69.8,3.36
426,Obshtina Sŭedinenie,68,83,42.32,71.6,11.41
427,San Paolo,0,69,45.37,77.0,5.82
428,Campello,75,78,46.5,71.6,0.36
429,Durham,40,72,54.78,59.0,5.82
430,Requeil,0,64,47.78,71.6,4.7
431,Claypole,75,76,-34.8,48.2,14.99
432,Mery-sur-Seine,24,64,48.51,71.6,5.82
433,Bambous,75,64,-20.26,73.4,12.75
434,Castello de la Plana,20,83,39.98,78.8,6.93
435,Bruckberg,0,93,48.53,64.4,2.71
436,Jaguaribe,24,38,-5.89,80.26,10.76
437,Villares de Yeltes,0,88,40.88,58.66,2.71
438,Waddinxveen,36,68,52.05,73.4,2.24
439,Alpachiri,0,49,-37.38,36.97,9.64
440,Sentul,0,97,-6.79,74.86,5.95
441,Yde,20,77,53.12,71.6,1.12
442,Megliadino San Vitale,0,73,45.2,77.0,3.36
443,Cut and Shoot,1,38,30.33,95.0,5.82
444,West New Britain Province,92,100,-5.88,71.53,2.71
445,La Carlota City,56,90,10.42,77.92,1.7
446,Tỉnh Bình Ðịnh,48,89,14.17,83.5,14.0
447,Dumbravita,20,88,47.6,66.2,2.24
448,Fermoselle,0,79,41.32,60.1,2.82
449,Elsau-Raeterschen,20,68,47.5,69.8,2.24
450,Sainte-Rose,75,78,16.33,80.6,6.93
451,Croom,40,82,52.52,57.2,6.93
452,Caabiangan,56,100,16.09,77.65,6.96
453,Guyong,90,100,14.84,77.0,4.7
454,Huckingen,0,69,51.37,73.4,3.36
455,Torres de Montes,0,56,42.09,71.6,2.24
456,Viken,0,87,56.15,71.6,1.14
457,Rucheng,0,85,32.39,87.91,6.85
458,Belen de Umbria,40,88,5.2,71.6,2.24
459,Buruanga,56,100,11.84,81.97,13.67
460,Santo Angelo,92,95,-28.3,58.21,11.43
461,Pawa,68,100,13.13,78.91,4.61
462,Franklin,90,88,42.08,80.6,5.82
463,San Luis de la Paz,0,25,21.3,79.18,13.89
464,Tías,20,83,28.94,69.8,17.22
465,Casais de Santa Maria de Almoster,20,88,39.23,66.2,5.82
466,Vanxains,0,82,45.22,68.0,6.93
467,Cacem,20,88,38.77,66.2,5.82
468,Haljala vald,20,91,59.45,63.7,2.59
469,Zlotniki,0,77,52.49,66.2,4.7
470,Uitikon / Waldegg,0,72,47.36,69.8,2.24
471,Si Samrong,75,83,17.16,78.8,4.7
472,Wasserliesch,1,68,49.72,73.4,3.71
473,Le Plessis-Mace,0,88,47.54,66.2,3.36
474,Canterbury,20,71,-37.82,53.6,13.87
475,Felonica,0,64,44.98,75.2,8.05
476,Civezzano,0,81,46.09,51.8,3.36
477,Zapolice,0,93,51.54,60.8,3.36
478,Champ Laurent,0,60,50.69,75.2,3.36
479,Jaciara,0,56,-15.97,67.75,6.73
480,Altoona,1,42,41.64,84.2,9.17
481,Glandorf,0,60,52.08,73.4,1.12
482,Stepanovicevo,0,88,45.41,68.0,6.93
483,Avon,1,26,39.63,91.4,8.05
484,Kenilworth,40,54,42.09,82.4,4.7
485,Sauveterre-de-Guyenne,0,82,44.69,68.0,6.93
486,Vilasantar,44,100,43.07,64.4,3.36
487,Alisal,1,60,36.68,87.8,13.87
488,Zoba Semēnawī K’eyih Bahrī,68,54,16.0,82.15,12.55
489,Bidarray,75,88,43.27,71.6,1.81
490,Isetskoye,0,81,56.49,65.05,3.71
491,Baden,0,72,48.0,68.0,5.82
492,Auerbach,0,82,48.97,58.3,2.15
493,General San Martin,0,44,-37.98,38.23,10.42
494,Llanbradach,8,87,51.61,60.8,6.93
495,La Honda,76,95,8.57,62.71,1.59
496,Châteauguay-Centre,90,88,45.35,80.6,5.82
497,Tabursuq,0,64,36.46,71.6,2.24
498,Liji,0,88,34.1,86.47,7.18
499,Saint-Maur-des-Fosses,0,60,48.79,75.2,5.82
500,Novoseleznevo,0,52,55.68,57.85,8.75
501,Bulawin,80,100,15.42,75.67,4.72
502,Jacarilla,0,88,38.06,75.2,4.7
503,Glamoc,0,63,44.05,64.42,6.4
504,Oberaula,0,68,50.85,66.2,5.82
505,Miramar,20,83,18.45,84.2,9.17
506,Pietracupa,0,71,41.68,59.83,2.93
507,Chabunco,0,69,-53.02,39.2,13.87
508,Baho,0,61,42.7,77.0,3.36
509,Tonaya,32,67,19.78,74.41,1.7
510,Hemsworth,0,72,53.61,64.4,6.93
511,Andujar,0,59,38.04,62.98,4.61
512,Chesterfield Inlet,0,42,63.34,64.24,12.88
513,New Sharon,75,88,44.64,73.4,6.93
514,Oldehove,20,77,53.3,69.8,1.12
515,Bihu,48,90,28.34,78.91,2.59
516,Hintermeilingen,0,68,50.5,71.6,2.24
517,Liuhe,68,73,42.24,78.91,10.98
518,Benna,0,73,45.51,75.2,2.24
519,Solnechnyy,20,93,55.32,59.0,6.71
520,Garanou,0,69,42.77,73.4,8.05
521,Lamadong,0,84,1.12,78.01,3.94
522,Fenland District,1,100,52.53,68.0,4.7
523,Sangzhen,0,69,34.26,78.8,4.47
524,Jincheng,90,100,25.5,60.8,4.47
525,Liuheng,12,89,29.74,84.2,6.71
526,Panjiang,92,99,24.02,64.33,3.15
527,Wedderstedt,8,71,51.83,65.5,3.6
528,Sang Atesh,0,71,35.25,62.26,2.37
529,Branipole,12,83,42.08,71.6,11.41
530,Bayas,0,88,45.07,68.0,8.05
531,Margueray,0,93,48.9,59.0,5.82
532,Aljau,20,94,38.35,75.2,2.48
533,Dimos Chios,0,60,38.4,75.2,14.45
534,Czarnkow,0,77,52.9,66.2,4.7
535,Kotzenbüll,8,88,54.33,71.6,2.24
536,Concórdia,100,62,-4.6,85.93,2.37
537,Monteodorisio,12,88,42.09,68.0,5.82
538,Hintertiefenbach,0,46,49.73,73.4,2.24
539,Ellenborough,0,31,-31.45,64.4,6.93
540,La Aldea,90,94,42.9,71.6,2.48
541,Mitterdorf an der Raab,20,93,47.17,62.6,2.24
542,Breitenberg,0,73,53.92,75.2,2.24
543,Pszczyna,0,93,49.99,64.4,2.24
544,Silberfeld,0,72,50.68,66.2,3.71
545,Stratham Station,20,83,43.05,84.2,5.82
546,La Chapelle-Thouarault,0,88,48.12,64.4,6.93
547,Ashtabula,90,100,41.87,75.2,1.92
548,Wüstenfelde,0,77,53.94,66.2,1.12
549,Rychnov nad Kneznou,0,72,50.16,64.4,2.24
550,Virudunagar,40,69,9.6,82.4,3.36
551,Hoktember,0,49,40.13,73.4,3.6
552,Barwon Heads,75,71,-38.28,53.6,13.87
553,Heigou,92,98,40.08,77.74,7.96
554,Candipuro,20,96,-8.19,72.16,12.44
555,Wild Peach Village,1,62,29.08,93.2,6.93
556,Amesti,1,68,36.96,87.8,10.29
557,Pigna,0,49,41.9,78.8,4.7
558,Corraun,48,91,53.72,54.7,7.74
559,Tlogowungu,0,87,-6.93,69.1,4.94
560,Langeais,0,73,47.33,69.8,5.82
561,Roz-sur-Couesnon,0,93,48.58,64.4,4.7
562,Englewood,75,78,35.42,78.8,4.7
563,Pasirsalam,44,94,-7.12,61.81,1.7
564,Ixcoalco,5,70,19.05,87.8,4.7
565,Oława,0,93,50.96,60.8,5.82
566,Nuevo Casas Grandes,8,15,30.42,96.1,9.64
567,Lemgo,0,56,52.03,71.6,5.82
568,Dian-ay,12,97,10.83,82.06,3.15
569,Hromnice,0,72,49.85,64.4,3.15
570,Sabadim,0,93,41.91,64.4,4.7
571,Walpernhain,0,72,51.02,73.4,3.15
572,Trevose,90,69,40.14,82.4,11.41
573,Masinigudi,68,96,11.57,66.13,2.04
574,Bischofferode,0,53,51.5,73.4,4.7
575,Tangchijie,90,100,24.96,60.8,4.47
576,Virrat,0,100,62.25,55.4,1.12
577,Grand Terrace,1,16,34.03,107.6,13.87
578,Gagetown,20,73,45.77,75.2,10.29
579,Castro de Filabres,0,88,37.18,71.6,4.7
580,Seslavino,0,40,42.45,69.8,6.71
581,Teshi,90,94,5.58,77.0,12.75
582,Carnegie Hill,90,83,40.78,80.6,12.66
583,Povolide,0,95,40.67,54.88,2.26
584,Alegre,0,93,-20.76,55.51,2.71
585,Brie,0,81,46.48,51.8,3.36
586,Prairieland,40,36,30.11,93.2,6.93
587,Bocanegra,75,24,19.85,80.6,9.17
588,Vieure,0,68,46.5,68.0,3.36
589,Roskilde Kommune,0,93,55.65,71.6,1.12
590,Ibaraki,40,74,34.82,84.2,5.82
591,Montejo de la Vega de la Serrezuela,0,74,41.55,57.76,2.71
592,Almudaina,20,94,38.76,75.2,1.7
593,Senging,0,84,48.55,58.93,2.48
594,Skoba,8,75,56.71,60.73,9.42
595,Spittal,12,93,51.87,55.4,4.7
596,Zeven,0,69,53.3,75.2,3.36
597,Barrio San Isidro (1),90,81,-25.37,53.6,9.17
598,Maleny,0,84,-26.75,65.5,4.27
599,Faraján,0,30,36.61,84.2,11.41
